edicao_numero,mes,ano,preco_capa,numero_paginas,url
1,9,1987,"Cz$ 24,00",84,http://www.guiadosquadrinhos.com/edicao/batman-2-serie-n-1/bt00302/4751
2,10,1987,"Cz$ 26,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-2/bt00302/4752
3,11,1987,"Cz$ 34,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-3/bt00302/4753
4,12,1987,"Cz$ 37,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-4/bt00302/4754
5,1,1988,"Cz$ 45,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-5/bt00302/4755
6,2,1988,"Cz$ 55,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-6/bt00302/4756
7,3,1988,"Cz$ 75,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-7/bt00302/4757
8,4,1988,"Cz$ 80,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-8/bt00302/4758
9,5,1988,"Cz$ 95,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-9/bt00302/4759
10,6,1988,"Cz$ 110,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-10/bt00302/4760
11,7,1988,"Cz$ 130,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-11/bt00302/4761
12,8,1988,"Cz$ 160,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-12/bt00302/4762
13,9,1988,"Cz$ 190,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-13/bt00302/4763
14,10,1988,"Cz$ 230,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-14/bt00302/4764
15,11,1988,"Cz$ 300,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-15/bt00302/4765
16,12,1988,"Cz$ 390,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-16/bt00302/4766
